Provinsi,Nama_Kota,nama_bahasa,link_kamus_bahasa_daerah,status_crawl,note,path
Maluku Utara,,Melayu Maluku Utara,https://wiki.edunitas.com/ind/114-10/Melayu-Maluku-Utara_40413__eduNitas.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku_utara/melayu_maluku_utara/json/melayu-maluku-utara_40413__edunitas.json
Maluku Utara,Ternate,Ternate,https://p2k.stekom.ac.id/ensiklopedia/Bahasa_Ternate,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku_utara/ternate/json/bahasa_ternate.json
Maluku Utara,Tidore,Tidore,https://opac.perpusnas.go.id/DetailOpac.aspx?id=157021,FALSE,tidak ada pdf,
Maluku,,Bahasa Alune,https://id.wiktionary.org/wiki/Lampiran:Kamus_bahasa_Indonesia_%E2%80%93_bahasa_Alune,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku/bahasa_alune/json/lampiran:kamus_bahasa_indonesia_%e2%80%93_bahasa_alune.json
Maluku,,Bahasa Ambon,https://tutuwawang.blogspot.com/2014/06/kamus-bahasa-hari-hari-ambon.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku/bahasa_ambon/json/kamus-bahasa-hari-hari-ambon.json
Maluku,,Bahasa Ambon,https://malukulease.blogspot.com/2011/08/normal-0-false-false-false-en-us-x-none.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku/bahasa_ambon/json/normal-0-false-false-false-en-us-x-none.json
Maluku,,Melayu Ambon,https://repositori.kemdikbud.go.id/2887/1/Kamus%20Bahasa%20Melayu%20Ambon-Indonesia%20%20%20-%20%20%20153h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/maluku/melayu_ambon/json/kamus_bahasa_melayu_ambon-indonesia___-___153h.json
Sulawesi Tengah ,"Palu, Poso, dan Parigi Moutong",Bahasa Bugis,https://repositori.kemdikbud.go.id/2856/1/Kamus%20Bahasa%20Bugis%20-%20Indonesia%20%20%20227h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tengah/bahasa_bugis/json/kamus_bahasa_bugis_-_indonesia___227h.json
Sulawesi Tengah ,Poso,Bahasa Poso,https://www.researchgate.net/publication/341300040_Kamus_Bahasa_Pamona-Indonesia_oleh_Bapak_Dj_Tiladuru_Pamona_-_Indonesia_Dictionary,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tengah/bahasa_poso/json/341300040_kamus_bahasa_pamona-indonesia_oleh_bapak_dj_tiladuru_pamona_-_indonesia_dictionary.json
Sulawesi Tengah ,"Banggai, Bangkai Kepulauan, Banggai Laut",Bahasa Banggai ,https://www.scribd.com/document/387016973/Bahasa-Banggai,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tengah/bahasa_banggai/json/bahasa-banggai.json
Sulawesi Tengah ,Banggai,Bahasa Saluan,https://repositori.kemdikbud.go.id/2878/1/kamus%20bahasa%20indonesia%20saluan.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tengah/bahasa_saluan/json/kamus_bahasa_indonesia_saluan.json
Sulawesi Tengah ,"Donggala, Sigi, dan Palu",Bahasa Kaili,https://www.sil.org/system/files/reapdata/16/26/79/162679603534738508377450095548762847968/Kamus_Kaili_Ledo.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tengah/bahasa_kaili/json/kamus_kaili_ledo.json
Papua,Jayapura,Bahasa Sentani,https://repositori.kemdikbud.go.id/2872/1/Kamus%20Bahasa%20Indonesia%20-%20Sentani%20%28A-K%29%20%20%20%20%20197a.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/papua/bahasa_sentani/json/kamus_bahasa_indonesia_-_sentani_(a-k)_____197a.json
Papua,Jayapura,Bahasa Mooi,https://repositori.kemdikbud.go.id/16649/1/KamusDwibahasa%20Bahasa%20Indonesia-Bahasa%20Mooi_2017.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/papua/bahasa_mooi/json/kamusdwibahasa_bahasa_indonesia-bahasa_mooi_2017.json
Papua,,Bahasa Melayu-Papua,https://upload.wikimedia.org/wikipedia/commons/2/24/Kamus_bahasa_Melayu_Papua-Indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/papua/bahasa_melayu-papua/json/kamus_bahasa_melayu_papua-indonesia.json
